,hotel_name,rating,room_description,price,location_descirption,long_description,Unnamed: 0_y,price_week_before
516,Hostal Barcelona Centro,8.3,"Budget Double Room
2 single beds
Only 2 rooms left at this price on our site","€ 1,556","Eixample, BarcelonaShow on map450 m from centreMetro accessBeach nearby","You're eligible for a Genius discount at Hostal Barcelona Centro! To save at this property, all you have to do is sign in.
Within 5 minutes’ walk of Passeig de Gràcia and Catalunya Metro and railway stations, Hostal Barcelona Centro offers modern rooms with free Wi-Fi.

Each air-conditioned room at Hostal Barcelona Centro has a flat-screen TV, heating and private bathroom.

Restaurants, bars and cafés can be found on Passeig de Gràcia and around Las Ramblas, 10 minutes' walking from Hostal Barcelona Centro.

Gaudí’s Casa Batlló and La Pedrera can be reached in 5 minutes by foot. Plaza de Catalunya and the Gothic Quarter are within 600 metres of the guest house.",611.0,"€ 1,196"
517,Upper Diagonal,8.7,"Double Room
Beds: 1 double or 2 singles","€ 1,666","Sarrià-St. Gervasi, BarcelonaShow on map4 km from centreMetro access","You're eligible for a Genius discount at Upper Diagonal! To save at this property, all you have to do is sign in.
Situated in Barcelona’s Pedralbes neighbourhood, Upper Diagonal offers modern accommodation with free WiFi and a gym just 1 km from the Camp Nou football stadium.

All rooms are equipped with a flat-screen TV. Every room is fitted with a private bathroom. For your comfort, you will find free toiletries and a hair dryer. All rooms have ironing facilities.

The hotel has an on-site restaurant serving seasonal food, and you can find more restaurants and shops on Diagonal Avenue, just 600 metres away, and in the L’Illa Diagonal shopping centre.

There is a 24-hour front desk at the property and the hotel also offers car hire.

La Pedrera is 3.3 km from Upper Diagonal, while Tibidabo is 3.4 km from the property. The nearest airport is Barcelona El Prat Airport, 11 km from Upper Diagonal.",873.0,"€ 1,217"
518,Sonder La Casa del Sol,7.8,"Double Room
1 double bed
Only 1 room left at this price on our site","€ 1,582","Gràcia, BarcelonaShow on map2 km from centreMetro access","You're eligible for a Genius discount at Sonder La Casa del Sol! To save at this property, all you have to do is sign in.
A 10-minute walk from La Pedrera, Sonder l La Casa del Sol is situated in Barcelona and features rooms with free WiFi. Well set in the Gràcia district, this hotel offers rooms with balcony.

The units in the hotel are equipped with a flat-screen TV with free-to-air channels. All rooms have a private bathroom.

Sonder l La Casa del Sol offers a beautiful sun terrace.

Speaking English, Spanish, French and Catalan.

Casa Batllo is 1.3 km from the accommodation. The nearest airport is Barcelona El Prat Airport, 13 km from Sonder l La Casa del Sol.",734.0,"€ 1,564"
520,Happy People Sagrada Familia Apartments,8.2,"Apartment
Entire apartment • 4 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 85m²
6 beds (4 singles, 2 doubles)
Only 3 left at this price on our site","€ 3,365","Eixample, BarcelonaShow on map1.7 km from centreMetro accessBeach nearby","You're eligible for a Genius discount at Happy People Sagrada Familia Apartments! To save at this property, all you have to do is sign in.
Happy People Sagrada Familia Apartments is a self-catering accommodation located in Barcelona. Free WiFi access is available. The property is 55 metres from Sagrada Familia and 500 metres from Monumental.

The apartment will provide you with air conditioning and free amenities including italian coffee maker. Complete with a microwave, the dining area also has a refrigerator and kitchenware. Featuring a shower, private bathroom also comes with a hairdryer.

At Happy People Sagrada Familia Apartments you will find a terrace.

If you feel like visiting the surroundings, check out Tetuan (900 metres) and Estacio del Nord (1.1 km). Barcelona El Prat Airport is located 14 km from the property.",651.0,"€ 3,082"
521,Happy People Sagrada Familia Apartments,8.2,"Apartment
Entire apartment • 4 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 85m²
6 beds (4 singles, 2 doubles)
Only 3 left at this price on our site","€ 3,365","Eixample, BarcelonaShow on map1.7 km from centreMetro accessBeach nearby","You're eligible for a Genius discount at Happy People Sagrada Familia Apartments! To save at this property, all you have to do is sign in.
Happy People Sagrada Familia Apartments is a self-catering accommodation located in Barcelona. Free WiFi access is available. The property is 55 metres from Sagrada Familia and 500 metres from Monumental.

The apartment will provide you with air conditioning and free amenities including italian coffee maker. Complete with a microwave, the dining area also has a refrigerator and kitchenware. Featuring a shower, private bathroom also comes with a hairdryer.

At Happy People Sagrada Familia Apartments you will find a terrace.

If you feel like visiting the surroundings, check out Tetuan (900 metres) and Estacio del Nord (1.1 km). Barcelona El Prat Airport is located 14 km from the property.",652.0,"€ 3,082"
522,Sweet Inn - Avenida Roma,8.1,"One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 55m²
2 beds (1 double, 1 sofa bed)
Free cancellation
Only 1 left at this price on our site","€ 2,357","Eixample, BarcelonaShow on map1.2 km from centreMetro access","Sweet Inn - Avenida Roma has air-conditioned guest accommodation in Barcelona, 1.6 km from Sants Railway Station, 1.5 km from Passeig de Gracia and 1.6 km from Plaça Catalunya. There is a private entrance at the apartment for the convenience of those who stay. Free WiFi is available throughout the property and Casa Batllo is 1.2 km away.

Each unit features a fully equipped kitchen with a dishwasher, a seating area, a TV, a washing machine, and a private bathroom with bidet and free toiletries. An oven, a microwave and toaster are also available, as well as a coffee machine and a kettle. At the apartment complex, each unit has bed linen and towels.

Popular points of interest near the apartment include Passeig de Gracia Metro Station, La Pedrera and Boqueria Market. The nearest airport is Barcelona El Prat Airport, 12 km from Sweet Inn - Avenida Roma.",644.0,"€ 1,995"
523,Ikonik Anglí,8.0,"Economy Double or Twin Room
Beds: 1 double or 2 singles","€ 1,605","Sarrià-St. Gervasi, BarcelonaShow on map4.3 km from centre","Situated in the charming residential district of Sarrià, this elegant design hotel offers an outdoor pool and garden area, overlooking Tibidabo Mountain. Free Wi-Fi is available.

The Ikonik Anglí’s spacious rooms have a minimalist design and large windows, which provide plenty of natural light. Each air-conditioned room includes a flat-screen TV and a modern bathroom with a range of amenities.

Guests can enjoy a daily breakfast in the Angli’s stylish breakfast room. The Sarrià district is known for its wonderful cake shops, and there are also many popular bars within a 5-minute walk. The hotel also offers meeting rooms for events.

Sarrià FGC Train Station is 600 metres from the Ikonik Anglí, and offers direct services to Barcelona city centre. Plaza Catalunya Square is just a 10-minute train ride away. The nearest airport is Barcelona Airport, 15 minutes drive away from the hotel.",629.0,"€ 1,871"
524,NH Collection Barcelona Podium,8.5,"Superior Double or Twin Room
Beds: 1 double or 2 singles","€ 2,187","Eixample, BarcelonaShow on map0.8 km from centreMetro accessBeach nearby",,219.0,"€ 1,887"
525,Umma Barcelona B&B Boutique,8.4,"Triple Room
Multiple bed types
Breakfast included
Only 1 room left at this price on our site","€ 2,237","Eixample, BarcelonaShow on map1.8 km from centre",,682.0,"€ 1,751"
526,Umma Barcelona B&B Boutique,8.4,"Triple Room
Multiple bed types
Breakfast included
Only 1 room left at this price on our site","€ 2,237","Eixample, BarcelonaShow on map1.8 km from centre","You're eligible for a Genius discount at Umma Barcelona B&B Boutique! To save at this property, all you have to do is sign in.
Umma Barcelona B&B Boutique offers air-conditioned rooms with free Wi-Fi and a private bathroom. The property is 10 minutes’ walk from both La Pedrera and fashionable Passeig the Gracia.

Featuring an elegant décor, rooms at Umma Barcelona B&B Boutique have a flat-screen TV, free safe and a wardrobe. The private bathroom comes with shower, free toiletries and hairdryer. Some rooms have a balcony with street views.

A breakfast is served every morning at Umma Barcelona B&B Boutique. Several restaurant, traditional tapas bars and shops can be found in the surrounding area. Some of the trendiest bars are in Gracia District, 500 metres away.

Umma Barcelona B&B Boutique is in the Eixample District of Barcelona. You can walk to Gaudi’s Casa Batlló in 15 minutes. The closest metro station is Diagonal Metro Station, just 400 metres away. Trains to Barcelona El Prat Airport leave from a train station located 1 km away.",682.0,"€ 1,751"
